week,day,session,block,exercise,sets,reps,intensity,rest,tempo,duration,progression,notes
9,Tue,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
9,Tue,B,strength,Deadlift,6,2,80% 1RM (125 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
9,Tue,B,strength,Military Press,6,2,80% 1RM (65 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
9,Tue,B,strength,Weighted Pull-up,6,2,80% 1RM (32.5 kg) - anchor/speed,2-3 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),wave lift
9,Tue,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
9,Tue,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
9,Tue,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
9,Wed,C,warm-up,"Movement warm-up + shoulder mobility (band pull-aparts, face pull, arm circles)",1,-,bodyweight / light band,-,controlled,10 min,-,Session components Wk07 Ch11 p18
9,Wed,C,hypertrophy,Incline Dumbbell Press,4,8-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7 p20),push pattern; upper chest emphasis (Wk02 Ch2 p12); multi-joint first (Wk07 Ch11 p13)
9,Wed,C,hypertrophy,Cable Row (Seated or Single-arm),4,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,pull pattern; agonist/antagonist balance with pressing (Wk07 Ch11 p13)
9,Wed,C,hypertrophy,Dumbbell Shoulder Press (Seated),3,10-12,RPE 7-8,60-90s,2-0-1,,double progression 8-12; 2-for-2 then +5%,push pattern - vertical; hypertrophy dose (Wk07 Ch11 Table 9-12 p16)
9,Wed,C,hypertrophy,Cable Lateral Raise,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,shoulder width; single-joint after multi-joint (Wk07 Ch11 p13)
9,Wed,C,hypertrophy,Cable Rear Delt Fly,3,12-15,RPE 7-8,45-60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,scapular stabilizer / posterior shoulder health (Wk10 Ch15 p92)
9,Wed,C,hypertrophy,EZ-Bar or Dumbbell Curl,3,10-12,RPE 7-8,60s,2-0-1,,double progression 8-12; 2-for-2 then +5%,biceps hypertrophy; single-joint isolation (Wk07 Ch11 p13)
9,Wed,C,hypertrophy,Tricep Rope Pushdown,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,triceps hypertrophy; single-joint isolation
9,Wed,C,hypertrophy,Cable Pull-Through or Hamstring Curl,3,12-15,RPE 7-8,60s,2-0-1,,double progression 12-15; 2-for-2 then +5%,posterior chain flush on pump day; does not compete with DL recovery (Wk07 Ch11 p47-48)
9,Wed,C,cool-down,Static stretch: pecs / front delts / lats / biceps / hamstrings,1,2/side,to slight discomfort,-,hold 20-30s,8 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
9,Thu,A,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
9,Thu,A,strength,Back Squat,1,1,105% 1RM (135 kg),3-5 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),RETEST week - see Retest Plan (Wk06 Ch10 p69-74)
9,Thu,A,strength,Bench Press,1,1,105% 1RM (150 kg),3-5 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),RETEST week - see Retest Plan (Wk06 Ch10 p69-74)
9,Thu,A,accessory,Bulgarian Split Squat,3,10/side,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
9,Thu,A,accessory,Dips,3,8-12,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
9,Thu,A,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
9,Fri,B,warm-up,Movement-phase warm-up: 5 patterns + ramp sets to first work load,1,-,bodyweight -> light,-,controlled,8-10 min,-,Session components Wk07 Ch11 p18
9,Fri,B,strength,Deadlift,1,1,105% 1RM (162.5 kg),3-5 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),RETEST week - see Retest Plan (Wk06 Ch10 p69-74)
9,Fri,B,strength,Military Press,1,1,105% 1RM (85 kg),3-5 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),RETEST week - see Retest Plan (Wk06 Ch10 p69-74)
9,Fri,B,strength,Weighted Pull-up,1,1,105% 1RM (42.5 kg),3-5 min,2-0-1,,linear wave (plan: Strength Block); autoregulate per RPE (plan: Autoregulation),RETEST week - see Retest Plan (Wk06 Ch10 p69-74)
9,Fri,B,accessory,Romanian Deadlift,3,10,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
9,Fri,B,accessory,Face Pull,3,15,RPE 7-8,60-90s,2-0-1,,"double progression 8-12; 2-for-2 then +5% (Wk07 Ch11 p7, p20)",
9,Fri,B,cool-down,"Static stretch: hip flexors, hamstrings, pecs, lats",1,2/side,to slight discomfort,-,hold 20-30s,5 min,-,Flexibility FITT-VP Table 11-7 (Wk07 Ch11 p25)
